status,pdf_path,match_mode,matched_hwp_count,size,pypdf_ok,pypdf_pages,fitz_ok,fitz_pages,matched_hwp_paths,errors
ok,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\공법_보관_행정법_기출__행기_박정훈_2022_중간기말고사_평가서.pdf,exact,1,94674,True,3,True,3,H:\내 드라이브\_원본보관\hwp_전체\공법_보관_행정법_기출__행기_박정훈_2022_중간기말고사_평가서.hwp,
ok,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\공법_보관_행정법_기출__행기_배기철_2023_기말고사_문제.pdf,exact,1,107976,True,6,True,6,H:\내 드라이브\_원본보관\hwp_전체\공법_보관_행정법_기출__행기_배기철_2023_기말고사_문제.hwp,
ok,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\공법_보관_행정법_기출__행기초_배기철_쟁노_기말고사_장서영_투머치_참고만.pdf,exact,1,567453,True,50,True,50,H:\내 드라이브\_원본보관\hwp_전체\공법_보관_행정법_기출__행기초_배기철_쟁노_기말고사_장서영_투머치_참고만.hwp,
ok,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\공법_보관_행정법_기출__행정법의_기초이론_박정훈_2022_중간기말고사_평가서.pdf,exact,1,94674,True,3,True,3,H:\내 드라이브\_원본보관\hwp_전체\공법_보관_행정법_기출__행정법의_기초이론_박정훈_2022_중간기말고사_평가서.hwp,
ok,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\공법_보관_행정법_기출__행정법의_기초이론_배기철_2023_기말고사_문제.pdf,exact,1,107976,True,6,True,6,H:\내 드라이브\_원본보관\hwp_전체\공법_보관_행정법_기출__행정법의_기초이론_배기철_2023_기말고사_문제.hwp,
broken,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\공법_보관_행정법_기출__행정법의_기초이론_주동진_2025_기말고사_해설.pdf,exact,1,0,False,,False,,H:\내 드라이브\_원본보관\hwp_전체\공법_보관_행정법_기출__행정법의_기초이론_주동진_2025_기말고사_해설.hwp,size=0 | pypdf:EmptyFileError:Cannot read an empty file | fitz:EmptyFileError:Cannot open empty file: filename='H:\\내 드라이브\\5.기타\\_trash\\2026-03-16\\_hwp_모음\\pdf_converted\\hwp pdf 변환\\공법_보관_행정법_기출__행정법의_기초이론_주동진_2025_기말고사_해설.pdf'.
ok,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\로스쿨 입시_LEET_추리논증_모의고사__5-00_추리논증_파이널_1회_정답표.pdf,exact,1,25123,True,1,True,1,H:\내 드라이브\_원본보관\hwp_전체\로스쿨 입시_LEET_추리논증_모의고사__5-00_추리논증_파이널_1회_정답표.hwpx,
ok,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\로스쿨 입시_LEET_추리논증_모의고사__파이널_1회_정답표_수정.pdf,exact,1,25123,True,1,True,1,H:\내 드라이브\_원본보관\hwp_전체\로스쿨 입시_LEET_추리논증_모의고사__파이널_1회_정답표_수정.hwpx,
ok,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\로스쿨 입시_입시_자소서__2024학년도_고려대학교_법전원_자소서.pdf,exact,1,347751,True,7,True,7,H:\내 드라이브\_원본보관\hwp_전체\로스쿨 입시_입시_자소서__2024학년도_고려대학교_법전원_자소서.hwp,
ok,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\로스쿨 입시_입시_자소서__로스쿨입시_2024학년도_고려대학교_법전원_자소서.pdf,exact,1,347751,True,7,True,7,H:\내 드라이브\_원본보관\hwp_전체\로스쿨 입시_입시_자소서__로스쿨입시_2024학년도_고려대학교_법전원_자소서.hwp,
ok,H:\내 드라이브\5.기타\_trash\2026-03-16\_hwp_모음\pdf_converted\hwp pdf 변환\로스쿨 입시_입시_자소서__서식5_자기소개서.pdf,exact,1,445706,True,7,True,7,H:\내 드라이브\_원본보관\hwp_전체\로스쿨 입시_입시_자소서__서식5_자기소개서.hwp,
