pdf_path,relative_path,top_category,second_category,bytes,last_write_time,full_pypdf_status,full_pypdf_pages,full_pypdf_error,full_pypdf_elapsed_ms,current_exists,review_status,fitz_ok,fitz_pages,fitz_error,review_note
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_15.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_15.pdf,1.민사,기출,183569,2023-04-05T19:07:36,OK,2,,104,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_16.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_16.pdf,1.민사,기출,173906,2023-04-05T20:29:32,OK,7,,61,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_17.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_17.pdf,1.민사,기출,186780,2023-04-06T00:30:36,OK,9,,72,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_18.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_18.pdf,1.민사,기출,179904,2023-04-06T00:58:46,OK,9,,91,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_19.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_19.pdf,1.민사,기출,196700,2023-04-06T17:42:40,OK,10,,102,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_20.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_20.pdf,1.민사,기출,186482,2023-03-27T23:57:28,OK,10,,118,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_21.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_21.pdf,1.민사,기출,183312,2023-04-06T22:00:56,OK,12,,199,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_22.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_22.pdf,1.민사,기출,200526,2023-04-06T22:51:26,OK,13,,130,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_13.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_13.pdf,1.민사,기출,248328,2023-03-27T00:25:06,OK,17,,6519,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_14.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_14.pdf,1.민사,기출,3008988,2014-06-30T17:21:32,OK,12,,204,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_15.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_15.pdf,1.민사,기출,224041,2023-04-05T19:08:28,OK,7,,63,True,OK,,,,
